chinese_,chinese
对单个敌人造成150%攻击力的伤害，并撕裂敌人伤口，造成20%流血伤害，持续2回合,對單個敵人造成150%攻擊力的傷害，並撕裂敵人傷口，造成20%流血傷害，持續2回合
突袭到后排随机一名敌人身边，对敌人造成两次110%攻击力的伤害,突襲到後排隨機一名敵人身邊，對敵人造成兩次110%攻擊力的傷害
对前方一名敌人攻击两次，每次造成100%攻击力的伤害，可以暴击,對前方一名敵人攻擊兩次，每次造成100%攻擊力的傷害，可以暴擊
提高自身攻击力30%，无视单个敌人的护甲并造成120%攻击力伤害，持续2回合,提高自身攻擊力30%，無視單個敵人的護甲並造成120%攻擊力傷害，持續2回合
对前排所有敌人造成120%攻击力的伤害，并削弱受到伤害的敌人20%的护甲持续1回合,對前排所有敵人造成120%攻擊力的傷害，並削弱受到傷害的敵人20%的護甲持續1回合
增加自身闪避率20%，持续2个回合，并突袭前排一名敌人造成150%攻击力的伤害,增加自身閃避率20%，持續2個回合，並突襲前排一名敵人造成150%攻擊力的傷害
使用剧毒的武器攻击敌人，造成130%攻击力的伤害，同时让敌人承受40%攻击力中毒伤害伤害，持续2个回合,使用劇毒的武器攻擊敵人，造成130%攻擊力的傷害，同時讓敵人承受40%攻擊力中毒傷害傷害，持續2個回合
攻击敌人造成150%攻击力伤害的同时，还会撕裂敌人伤口，造成30%攻击力的流血伤害，持续3个回合,攻擊敵人造成150%攻擊力傷害的同時，還會撕裂敵人傷口，造成30%攻擊力的流血傷害，持續3個回合
攻击敌人造成100%的攻击力伤害，还回增加50点能量，同时降低敌人命中20%持续1个回合,攻擊敵人造成100%的攻擊力傷害，還回增加50點能量，同時降低敵人命中20%持續1個回合
驱散单个敌人的正面状态，并造成150%攻击力伤害,驅散單個敵人的正面狀態，並造成150%攻擊力傷害
提高自身50%的吸血，持续2个回合,提高自身50%的吸血，持續2個回合
提高自身50%攻击力，并对后排一名敌人造成120%攻击力伤害，如果击杀敌人，则此技能可重新释放，一回合最多释放4次,提高自身50%攻擊力，並對後排一名敵人造成120%攻擊力傷害，如果擊殺敵人，則此技能可重新釋放，一回合最多釋放4次
对敌人造成150%攻击力的伤害，战场上每缺少一个敌人，伤害提高15%，最多提高60%，持续2个回合,對敵人造成150%攻擊力的傷害，戰場上每缺少一個敵人，傷害提高15%，最多提高60%，持續2個回合
对敌人造成150%攻击力的伤害，如果击杀敌人，则回复50点能量,對敵人造成150%攻擊力的傷害，如果擊殺敵人，則回復50點能量
对前排所有敌人造成70%的伤害，并削弱受到伤害的敌人的30%护甲，持续2个回合,對前排所有敵人造成70%的傷害，並削弱受到傷害的敵人的30%護甲，持續2個回合
突袭至血量最低的敌人面前，造成200%攻击力伤害,突襲至血量最低的敵人面前，造成200%攻擊力傷害
每次攻击消耗自身5%的血量，提升50%攻击伤害，持续4回合,每次攻擊消耗自身5%的血量，提升50%攻擊傷害，持續4回合
对血量最低的两个敌人造成150%攻击力的伤害，削弱20%的护甲，持续2个回合,對血量最低的兩個敵人造成150%攻擊力的傷害，削弱20%的護甲，持續2個回合
攻击前方整排的敌人，每攻击到一个恢复自身已损失5%的血量，并造成100%的攻击力伤害,攻擊前方整排的敵人，每攻擊到一個恢復自身已損失5%的血量，並造成100%的攻擊力傷害
对生命值最低的敌人造成130%伤害,對生命值最低的敵人造成130%傷害
对单体敌人造成150%的伤害，并损失40%护甲,對單體敵人造成150%的傷害，並損失40%護甲
对前方一排的敌人造成120%的伤害，造成击杀后则恢复自身10%的已损失血量,對前方一排的敵人造成120%的傷害，造成擊殺後則恢復自身10%的已損失血量
猛击单体敌人造成150%的攻击力伤害，如果敌人血量在20%以下，则造成双倍伤害,猛擊單體敵人造成150%的攻擊力傷害，如果敵人血量在20%以下，則造成雙倍傷害
对单体敌人造成150%的攻击力伤害，并让受伤敌人损失30%护甲，持续2回合,對單體敵人造成150%的攻擊力傷害，並讓受傷敵人損失30%護甲，持續2回合
提高自身20闪避率，20%吸血，50%攻击力，20%命中率，20%暴击率，持续2个回合,提高自身20閃避率，20%吸血，50%攻擊力，20%命中率，20%暴擊率，持續2個回合
直接对目标造成130%攻击力的伤害,直接對目標造成130%攻擊力的傷害
选择两个攻击力最高的队友，提升对方20%命中和70%攻击力，持续2个回合,選擇兩個攻擊力最高的隊友，提升對方20%命中和70%攻擊力，持續2個回合
将剧毒液体掷向单个敌人，造成120%攻击力的伤害，每回合受到10%的中毒伤害，持续3回合,將劇毒液體擲向單個敵人，造成120%攻擊力的傷害，每回合受到10%的中毒傷害，持續3回合
使用激光消灭敌人，对单个敌人造成140%攻击力的伤害,使用激光消滅敵人，對單個敵人造成140%攻擊力的傷害
对单个敌人发射一枚巨大的导弹，击中敌人后对敌人造成110%攻击力的伤害，对其他所有敌人造成50%攻击力的伤害,對單個敵人發射一枚巨大的導彈，擊中敵人後對敵人造成110%攻擊力的傷害，對其他所有敵人造成50%攻擊力的傷害
使用强大的炮火攻击敌人，对单个敌人造成120%攻击力的伤害，对其他所有敌人造成50%攻击力的伤害,使用強大的炮火攻擊敵人，對單個敵人造成120%攻擊力的傷害，對其他所有敵人造成50%攻擊力的傷害
随机对三名敌人造成100%攻击力的伤害，并降低单个敌人20%命中率和10%的护甲,隨機對三名敵人造成100%攻擊力的傷害，並降低單個敵人20%命中率和10%的護甲
密布的地雷对前排所有敌人造成70%无视护甲伤害,密布的地雷對前排所有敵人造成70%無視護甲傷害
强大的生化毒雾优先针对所有后排敌人，对单个敌人造成100%攻击力的伤害,強大的生化毒霧優先針對所有後排敵人，對單個敵人造成100%攻擊力的傷害
对所有敌人进行地毯式轰炸，造成100%攻击力的伤害,對所有敵人進行地毯式轟炸，造成100%攻擊力的傷害
释放大范围沙尘暴，对所有敌人造成100%攻击力伤害，并造成20%攻击力削弱，持续2回合,釋放大範圍沙塵暴，對所有敵人造成100%攻擊力傷害，並造成20%攻擊力削弱，持續2回合
选择血量最低的队友，同时恢复自身和队友40%已损失的血量,選擇血量最低的隊友，同時恢復自身和隊友40%已損失的血量
发射一束量子激光，对单体目标敌人造成120%攻击力的无视防御伤害,發射一束量子激光，對單體目標敵人造成120%攻擊力的無視防禦傷害
给自身和队友施加一层100%攻击力强度的寒冰铠甲，护甲存在期间增加穿戴者20%护甲和30%伤害反弹,給自身和隊友施加一層100%攻擊力強度的寒冰鎧甲，護甲存在期間增加穿戴者20%護甲和30%傷害反彈
所有敌人没有受到流血伤害的，每回合受到70%攻击力的流血伤害，持续2回合，受到流血伤害的伤害翻倍，直至伤害结束,所有敵人沒有受到流血傷害的，每回合受到70%攻擊力的流血傷害，持續2回合，受到流血傷害的傷害翻倍，直至傷害結束
强大的核弹对所有敌人造成120%攻击力的伤害，并随机眩晕1个敌人1回合,強大的核彈對所有敵人造成120%攻擊力的傷害，並隨機眩暈1個敵人1回合
对目标上指定标记，单个敌人受到120%攻击力伤害，目标所受伤害提高20%，持续2回合,對目標上指定標記，單個敵人受到120%攻擊力傷害，目標所受傷害提高20%，持續2回合
增加己方攻击力最高的3个英雄100攻击力，20%命中，持续2回合,增加己方攻擊力最高的3個英雄100攻擊力，20%命中，持續2回合
将地雷铺满敌方，对所有敌人造成130%攻击力伤害,將地雷鋪滿敵方，對所有敵人造成130%攻擊力傷害
对所有敌人造成100%攻击力的伤害，随机冰冻2个敌人1回合,對所有敵人造成100%攻擊力的傷害，隨機冰凍2個敵人1回合
调动炮火，对所有敌人造成100%攻击力伤害，并随机眩晕3个敌人1回合,調動炮火，對所有敵人造成100%攻擊力傷害，並隨機眩暈3個敵人1回合
将药剂投掷到敌方阵营中，造成100%攻击力的伤害，并降低所有敌人的40%护甲，持续2回合,將藥劑投擲到敵方陣營中，造成100%攻擊力的傷害，並降低所有敵人的40%護甲，持續2回合
将剧毒的生化导弹发射到敌人阵营中，对所有敌人造成100%攻击力伤害，每回合受到40%攻击力的毒素伤害，持续3回合,將劇毒的生化導彈發射到敵人陣營中，對所有敵人造成100%攻擊力傷害，每回合受到40%攻擊力的毒素傷害，持續3回合
在敌人阵营中爆发灼热的阳炎能量，给所有敌人造成120%攻击力的伤害，每回合受到20%攻击强度的伤害，持续2个回合,在敵人陣營中爆發灼熱的陽炎能量，給所有敵人造成120%攻擊力的傷害，每回合受到20%攻擊強度的傷害，持續2個回合
随机3个敌人进入噩梦状态，无法进行攻击并持续受到100%攻击力的伤害，持续1个回合,隨機3個敵人進入噩夢狀態，無法進行攻擊並持續受到100%攻擊力的傷害，持續1個回合
强大的冲击产生黑洞，对所有敌人造成100%攻击力的伤害，并减少敌人20%护甲,強大的沖擊產生黑洞，對所有敵人造成100%攻擊力的傷害，並減少敵人20%護甲
强大的火力仿佛能摧毁所有敌人，每名敌人会受到100%攻击力的伤害，后排所有敌人额外受到20%伤害,強大的火力仿佛能摧毀所有敵人，每名敵人會受到100%攻擊力的傷害，後排所有敵人額外受到20%傷害
对单个敌人造成200%攻击力的伤害，敌人护甲收到20%削弱，敌人攻击力受到20%削弱，持续3个回合,對單個敵人造成200%攻擊力的傷害，敵人護甲收到20%削弱，敵人攻擊力受到20%削弱，持續3個回合
随机给己方三个英雄单位增加20%吸血，20%攻击力，不受伤害，持续1回合,隨機給己方三個英雄單位增加20%吸血，20%攻擊力，不受傷害，持續1回合
随机选中两个敌人，单个敌人受到50%攻击力伤害，自己回复50能量,隨機選中兩個敵人，單個敵人受到50%攻擊力傷害，自己回復50能量
强有力的辐射能穿透一切敌人，对所有敌人造成110%无视防御伤害,強有力的輻射能穿透一切敵人，對所有敵人造成110%無視防禦傷害
对敌人进行倾泻式打击，对所有敌人造成120%攻击力伤害，并虚弱敌人护甲20%，造成20%流血伤害，持续2回合,對敵人進行傾瀉式打擊，對所有敵人造成120%攻擊力傷害，並虛弱敵人護甲20%，造成20%流血傷害，持續2回合
发射一枚液氮导弹，对单个敌人受到200%伤害，冻僵1回合,發射一枚液氮導彈，對單個敵人受到200%傷害，凍僵1回合
对随机两个目标各进行3次攻击，每次造成100%攻击力的伤害，击杀敌人后回复自身20能量,對隨機兩個目標各進行3次攻擊，每次造成100%攻擊力的傷害，擊殺敵人後回復自身20能量
强大的能量冲击大地上的敌人，所有敌人受到100%攻击力的伤害，并减少20%护甲，持续2回合,強大的能量沖擊大地上的敵人，所有敵人受到100%攻擊力的傷害，並減少20%護甲，持續2回合
强力的酸雾会不断腐蚀敌人，所有敌人每回合受到自身最大生命值的10%的伤害，持续4回合,強力的酸霧會不斷腐蝕敵人，所有敵人每回合受到自身最大生命值的10%的傷害，持續4回合
直接对单个敌人造成300%攻击力伤害,直接對單個敵人造成300%攻擊力傷害
对所有敌人造成70%攻击力无视防御的伤害，并削弱敌人护甲40%，持续3回合,對所有敵人造成70%攻擊力無視防禦的傷害，並削弱敵人護甲40%，持續3回合
驱散所有敌人的正面状态，并造成100%的攻击力伤害,驅散所有敵人的正面狀態，並造成100%的攻擊力傷害
攻击单体敌人并造成150%攻击力伤害,攻擊單體敵人並造成150%攻擊力傷害
调整自己的战斗姿态，受到伤害减少30%,調整自己的戰鬥姿態，受到傷害減少30%
攻击单体敌人并造成250%攻击力伤害,攻擊單體敵人並造成250%攻擊力傷害
开启壁垒，免疫所有攻击，持续1回合,開啟壁壘，免疫所有攻擊，持續1回合
学会压制对手，对敌人造成120%伤害，并削弱敌人10%的护甲，持续1回合,學會壓製對手，對敵人造成120%傷害，並削弱敵人10%的護甲，持續1回合
学会压制对手，对敌人造成130%伤害，并削弱敌人15%的护甲，持续1回合,學會壓製對手，對敵人造成130%傷害，並削弱敵人15%的護甲，持續1回合
射出金属风暴，对面前一排的敌人造成5次60%攻击力的伤害,射出金屬風暴，對面前一排的敵人造成5次60%攻擊力的傷害
鼓舞士气，提升所有友军5%的攻击力，持续2个回合,鼓舞士氣，提升所有友軍5%的攻擊力，持續2個回合
鼓舞士气，提升所有友军10%的攻击力，持续2个回合,鼓舞士氣，提升所有友軍10%的攻擊力，持續2個回合
呼叫后方的重武器支援轰炸，对所有敌人造成120%伤害,呼叫後方的重武器支援轟炸，對所有敵人造成120%傷害
长时间野外生存后，对敌人有补刀的习惯，发出攻击会额外造成100%伤害,長時間野外生存後，對敵人有補刀的習慣，發出攻擊會額外造成100%傷害
对敌人发起一次无法闪避的攻击，造成120%伤害,對敵人發起一次無法閃避的攻擊，造成120%傷害
长时间野外生存后，对敌人有补刀的习惯，发出攻击会额外造成150%伤害,長時間野外生存後，對敵人有補刀的習慣，發出攻擊會額外造成150%傷害
对敌人发起一次无法闪避的攻击，造成140%伤害,對敵人發起一次無法閃避的攻擊，造成140%傷害
无视敌人护甲，对敌人造成一次230%攻击加成的伤害,無視敵人護甲，對敵人造成一次230%攻擊加成的傷害
对敌人造成110%的伤害，并且提升自身下回合30%的闪避,對敵人造成110%的傷害，並且提升自身下回合30%的閃避
对敌人造成120%的伤害，并且提升自身下回合50%的闪避,對敵人造成120%的傷害，並且提升自身下回合50%的閃避
收到致死攻击的时候，会完全闪避这次伤害，并且恢复自身5%血量,收到致死攻擊的時候，會完全閃避這次傷害，並且恢復自身5%血量
永久提升攻击10%,永久提升攻擊10%
永久提升攻击15%,永久提升攻擊15%
连续三次打击最虚弱敌人，每次造成100%伤害,連續三次打擊最虛弱敵人，每次造成100%傷害
对躲在后方的单个敌人发起一次精神鉴定，造成100%的伤害,對躲在後方的單個敵人發起一次精神鑒定，造成100%的傷害
对最少血量的友方英雄发起一次治疗，恢复其5%的血量,對最少血量的友方英雄發起一次治療，恢復其5%的血量
对躲在后方的单个敌人发起一次精神鉴定，造成120%的伤害,對躲在後方的單個敵人發起一次精神鑒定，造成120%的傷害
对最少血量的友方英雄发起一次治疗，恢复其10%的血量,對最少血量的友方英雄發起一次治療，恢復其10%的血量
恢复所有友方英雄40%的血量,恢復所有友方英雄40%的血量
配备易爆化学试剂，对面前一排的敌人造成80%的伤害，并且对目标造成燃烧效果，每回合造成100%燃烧伤害+10%攻击力的伤害，持续2个回合,配備易爆化學試劑，對面前一排的敵人造成80%的傷害，並且對目標造成燃燒效果，每回合造成100%燃燒傷害+10%攻擊力的傷害，持續2個回合
配备易爆化学试剂，对面前一排的敌人造成100%的伤害，并且对目标造成燃烧效果，每回合造成100%燃烧伤害+30%攻击力的伤害，持续2个回合,配備易爆化學試劑，對面前一排的敵人造成100%的傷害，並且對目標造成燃燒效果，每回合造成100%燃燒傷害+30%攻擊力的傷害，持續2個回合
对敌人发起一次附加200%攻击的伤害，并且造成辐射照射效果，之后目标每次遭受到任何攻击都会加深30%，持续6个回合,對敵人發起一次附加200%攻擊的傷害，並且造成輻射照射效果，之後目標每次遭受到任何攻擊都會加深30%，持續6個回合
随机给队友施加一个护佑力场，在3回合内吸收不超过自身10%血量的伤害，在回合结束或者力场吸收伤害超过上限后，会为目标队友恢复对应的生命值,隨機給隊友施加一個護佑力場，在3回合內吸收不超過自身10%血量的傷害，在回合結束或者力場吸收傷害超過上限後，會為目標隊友恢復對應的生命值
随机给队友施加一个护佑力场，在3回合内吸收不超过自身20%血量的伤害,隨機給隊友施加一個護佑力場，在3回合內吸收不超過自身20%血量的傷害
对所有敌人发起一次审判，造成一次300%的攻击,對所有敵人發起一次審判，造成一次300%的攻擊
引导剧情相关的翻译》↓,引導劇情相關的翻譯》↓
嘿，你醒了？ |谢天谢地，你没事真是太好了。 |我们已经逃了一天一夜，掠夺者暂时应该威胁不到我们了。|修车的说过，活人比感染者更可怕，果然没错。 |我们现在面临一个问题，剩下的汽油不多了，如果再遇到危险会很麻烦。,嘿，你醒了？ |謝天謝地，你沒事真是太好了。 |我們已經逃了一天一夜，掠奪者暫時應該威脅不到我們了。|修車的說過，活人比感染者更可怕，果然沒錯。 |我們現在面臨一個問題，剩下的汽油不多了，如果再遇到危險會很麻煩。
好在前面不远就是02避难所了，最终的目的地，我们想要重建的地方。 |快走吧，我已经迫不及待了，但愿那里没有掠夺者或者丧尸。 |（呢喃）大叔，请保佑我们。,好在前面不遠就是02避難所了，最終的目的地，我們想要重建的地方。 |快走吧，我已經迫不及待了，但願那裏沒有掠奪者或者喪屍。 |（呢喃）大叔，請保佑我們。
,
终于到了，这座房子看上去比较安全。 |唔，看上去有些破败，不过没关系，打理一下就好了。 |那边有个柜台，你还有力气干活儿吗？,終於到了，這座房子看上去比較安全。 |唔，看上去有些破敗，不過沒關系，打理一下就好了。 |那邊有個櫃臺，你還有力氣幹活兒嗎？
点击修复柜台,點擊修復櫃臺
你这利索的动作真看不出来像是个颠簸了一整天的人。,你這利索的動作真看不出來像是個顛簸了一整天的人。
这边还有一个架子，修好了可以用来放置一些武器，我可不忍心把刀扔在地上。,這邊還有一個架子，修好了可以用來放置一些武器，我可不忍心把刀扔在地上。
修复初级冷兵器架,修復初級冷兵器架
好了，打扫完毕，终于可以松口气了。 |说起来，这里已经荒废许久，想要这里热闹起来我们需要想办法吸引冒险者们，你有什么好的主意吗？ |唔……一套装备，一杯美酒，一首小曲儿其实都是很有吸引力的。 |哈，好怀念听大叔弹吉他的日子啊……什么人？？？出来，不然我开枪了！,好了，打掃完畢，終於可以松口氣了。 |說起來，這裏已經荒廢許久，想要這裏熱鬧起來我們需要想辦法吸引冒險者們，你有什麽好的主意嗎？ |唔……一套裝備，一杯美酒，一首小曲兒其實都是很有吸引力的。 |哈，好懷念聽大叔彈吉他的日子啊……什麽人？？？出來，不然我開槍了！
点击气泡栏与铸造师对话,點擊氣泡欄與鑄造師對話
别开枪！朋友，别开枪！我没有恶意！你们看，我手上没有武器！ |我只是听见你们似乎有自己经营避难所的打算，想跟你们聊聊！这是我的一点小小心意，还请笑纳！,別開槍！朋友，別開槍！我沒有惡意！你們看，我手上沒有武器！ |我只是聽見你們似乎有自己經營避難所的打算，想跟你們聊聊！這是我的一點小小心意，還請笑納！
如你所见，朋友，我叫威廉，是一名铸造师，能够制作一些冷兵器。 |两位一定很清楚兵器在当下的重要性，为什么不经营一家武器商店呢？ |这可是吸引冒险者的绝佳途径，有兴趣瞧瞧吗？,如你所見，朋友，我叫威廉，是一名鑄造師，能夠製作一些冷兵器。 |兩位一定很清楚兵器在當下的重要性，為什麽不經營一家武器商店呢？ |這可是吸引冒險者的絕佳途徑，有興趣瞧瞧嗎？
我们就先从最简单的砍刀开始吧！,我們就先從最簡單的砍刀開始吧！
他看起来确实没有敌意，那么你们两位先聊，我还是有点不放心，再去侦察一下周围的环境。,他看起來確實沒有敵意，那麽你們兩位先聊，我還是有點不放心，再去偵察一下周圍的環境。
放心去吧，美丽的小姐，相信我们两人会相处的很愉快。,放心去吧，美麗的小姐，相信我們兩人會相處的很愉快。
在这艰难的日子里，资源就象征着黄金，我的朋友。 |让我带你熟悉一下该怎么处理收集到的资源。,在這艱難的日子裏，資源就象征著黃金，我的朋友。 |讓我帶你熟悉一下該怎麽處理收集到的資源。
点击修复铁矿箱,點擊修復鐵礦箱
自“救赎日”以后，大地上到处肆虐着丧尸和掠夺者，甚至还有大量变异后充满了攻击性的野兽出没。 |人类有的时候真的很渺小，面对那些核弹都没法彻底清除的怪物们，我曾一度绝望。 |不过有一句话始终伴随着我，如果你在黑暗中迷失，那就去寻找光明！,自“救贖日”以後，大地上到處肆虐著喪屍和掠奪者，甚至還有大量變異後充滿了攻擊性的野獸出沒。 |人類有的時候真的很渺小，面對那些核彈都沒法徹底清除的怪物們，我曾一度絕望。 |不過有一句話始終伴隨著我，如果你在黑暗中迷失，那就去尋找光明！
啊，抱歉，今天感慨有点多了。总而言之，我很期待我们的合作能够将这里打造成新的家园。 |言归正传，要应对野外的危险，仅仅拥有武器是不够的。 |仔细看，我来教你如何打造防爆战甲。,啊，抱歉，今天感慨有點多了。總而言之，我很期待我們的合作能夠將這裏打造成新的家園。 |言歸正傳，要應對野外的危險，僅僅擁有武器是不夠的。 |仔細看，我來教你如何打造防爆戰甲。
没想到你还挺有制作装备的天赋的，有时间我们一定要多交流交流。 |对于战甲，它不能像砍刀那样简单放在货架上。我们需要打造专门的防具货架。,沒想到你還挺有製作裝備的天賦的，有時間我們一定要多交流交流。 |對於戰甲，它不能像砍刀那樣簡單放在貨架上。我們需要打造專門的防具貨架。
拥有了武器和防具，在末世之中就有了自保的能力。|你可以通过将它们出售给一些流浪的冒险者来增加避难所的人气，从而一步步建设自己的避难所。 |看哪，有一位冒险者上门了！他会不会是你的第一位顾客呢？,擁有了武器和防具，在末世之中就有了自保的能力。|你可以通過將它們出售給一些流浪的冒險者來增加避難所的人氣，從而一步步建設自己的避難所。 |看哪，有一位冒險者上門了！他會不會是你的第一位顧客呢？
啊，真是令人怀念的场景啊，让我仿佛回到了瘟疫爆发之前的日子。 |我这里也没有什么贵重的礼物，这两把砍刀就当做庆祝伙伴开业的一点心意吧！,啊，真是令人懷念的場景啊，讓我仿佛回到了瘟疫爆發之前的日子。 |我這裏也沒有什麽貴重的禮物，這兩把砍刀就當做慶祝夥伴開業的一點心意吧！
通过售卖装备达到{0}级,通過售賣裝備達到{0}級
喂？我没事，这里来了一位立志重建避难所的年轻人。嗯，嗯，我建议你来认识一下他，好的，就这样。 |刚刚是我的朋友琳，你知道的，现在掠夺者们很猖狂，我看到你们的车进城以后就跟他说要来看看情况。 |没想到和你聊得这么尽兴忘记用无线电报平安了。你瞧，她来了！,餵？我沒事，這裏來了一位立誌重建避難所的年輕人。嗯，嗯，我建議你來認識一下他，好的，就這樣。 |剛剛是我的朋友琳，你知道的，現在掠奪者們很猖狂，我看到你們的車進城以後就跟他說要來看看情況。 |沒想到和你聊得這麽盡興忘記用無線電報平安了。你瞧，她來了！
点击气泡栏与裁缝对话,點擊氣泡欄與裁縫對話
这位就是新朋友吧，欢迎来到02避难所。 |我们已经在这废墟中生活了太久太久，听说你有志想要复兴避难所，我很激动。 |如果这是真的，我也想为我们生活的这片土地尽一份绵薄之力！,這位就是新朋友吧，歡迎來到02避難所。 |我們已經在這廢墟中生活了太久太久，聽說你有誌想要復興避難所，我很激動。 |如果這是真的，我也想為我們生活的這片土地盡一份綿薄之力！
嘿！琳，你可不能有了新人忘了旧人啊。瞧你这又是问候又是送礼，眼里都是新人，将我这个老朋友置于何地？,嘿！琳，你可不能有了新人忘了舊人啊。瞧你這又是問候又是送禮，眼裏都是新人，將我這個老朋友置於何地？
哟，威廉先生，您还记得我们是老朋友呢，你知道我刚才有多担心吗？还以为你遇见掠夺者，然后GG了呢！,喲，威廉先生，您還記得我們是老朋友呢，你知道我剛才有多擔心嗎？還以為你遇見掠奪者，然後GG了呢！
请不要在意这些细节！ |我的朋友，琳是一位出色服装设计师，擅长制作各种皮质装备。同时因为她接触过形形色色的顾客，在看人上也有一手绝活。 |别的事由她继续跟你交流，我要回去准备晚饭了，回见，我的朋友！,請不要在意這些細節！ |我的朋友，琳是一位出色服裝設計師，擅長製作各種皮質裝備。同時因為她接觸過形形色色的顧客，在看人上也有一手絕活。 |別的事由她繼續跟你交流，我要回去準備晚飯了，回見，我的朋友！
好了，不去管这个家伙，我们继续做正事吧。 |皮革对于储存的要求很高，如果像矿石一样堆积会造成损坏。 |让我们先制造一个皮革架。,好了，不去管這個家夥，我們繼續做正事吧。 |皮革對於儲存的要求很高，如果像礦石一樣堆積會造成損壞。 |讓我們先製造一個皮革架。
做的不错，有了这些皮革我们在制作防具的时候就有了更多选择。 |让我们来制作几件短袖衫。,做的不錯，有了這些皮革我們在製作防具的時候就有了更多選擇。 |讓我們來製作幾件短袖衫。
是不是觉得一次只做一件太慢了？别心急，我们来解锁新的制造栏位。,是不是覺得一次只做一件太慢了？別心急，我們來解鎖新的製造欄位。
就是这样，如果以后觉得制作太慢，也可以尝试解锁新的制作栏位，这将会大大提高你的效率。,就是這樣，如果以後覺得製作太慢，也可以嘗試解鎖新的製作欄位，這將會大大提高你的效率。
制造{0}件{1}来解锁{2},製造{0}件{1}來解鎖{2}
末世之中，总有一些难以预料的危险潜伏在我们的身边。想要应付他们，我们需要更高阶的装备。 |但是有些高级装备的制作会需要一些特殊的材料，这些材料只能从冒险中获得。,末世之中，總有一些難以預料的危險潛伏在我們的身邊。想要應付他們，我們需要更高階的裝備。 |但是有些高級裝備的製作會需要一些特殊的材料，這些材料只能從冒險中獲得。
什么？你现在就想去冒险？请等一下，我这里有一个更好的主意。 |你可以通过酒吧举办聚会，招募心仪的英雄组建小队。 |他们更擅长面对掠夺者和丧尸！ ,什麽？你現在就想去冒險？請等一下，我這裏有一個更好的主意。 |你可以通過酒吧舉辦聚會，招募心儀的英雄組建小隊。 |他們更擅長面對掠奪者和喪屍！ 
英雄的战斗力与他的职业和资质息息相关，英雄的资质从低到高共有绿色/蓝色/紫色/橙色四种品质。 |猎人，是一种十分灵活的职业。他具有极高的攻击，是非常强力的输出角色。 |但是猎人的生存能力比较薄弱，需要有队友站在前排对他进行保护。让我们来招募一位前排英雄。,英雄的戰鬥力與他的職業和資質息息相關，英雄的資質從低到高共有綠色/藍色/紫色/橙色四種品質。 |獵人，是一種十分靈活的職業。他具有極高的攻擊，是非常強力的輸出角色。 |但是獵人的生存能力比較薄弱，需要有隊友站在前排對他進行保護。讓我們來招募一位前排英雄。
武士，是一种生存力强劲的职业。他具有较高的生命值与防御力，往往是队友最坚实的护盾。 |现在你可以派他们去冒险了！,武士，是一種生存力強勁的職業。他具有較高的生命值與防禦力，往往是隊友最堅實的護盾。 |現在你可以派他們去冒險了！
每次战斗后英雄会进入疲劳状态，需要经过一段时间的休息才能参加后续的战斗。使用体力饮料可以让英雄们快速恢复，马上开始新的冒险！,每次戰鬥後英雄會進入疲勞狀態，需要經過一段時間的休息才能參加後續的戰鬥。使用體力飲料可以讓英雄們快速恢復，馬上開始新的冒險！
太棒了！英雄们带回来了制作探险家衣衫需要的变异血液！ |让我们制作一件冒险家衣衫，它能提供的生存能力可远远不是短袖衫能够比拟的。,太棒了！英雄們帶回來了製作探險家衣衫需要的變異血液！ |讓我們製作一件冒險家衣衫，它能提供的生存能力可遠遠不是短袖衫能夠比擬的。
你真的很有天赋，在你的身上我仿佛看见了避难所光明的未来。 |最后一件事，有时冒险者们会提出一些特别的委托，完成这些委托能够帮助你获得黄金作为回报。  |你可以在左上角的待办任务中找到这些委托。 | 我能教给你的就这么多了，接下来好好经营你的避难所吧，祝你好运！,你真的很有天賦，在你的身上我仿佛看見了避難所光明的未來。 |最後一件事，有時冒險者們會提出一些特別的委托，完成這些委托能夠幫助你獲得黃金作為回報。  |你可以在左上角的待辦任務中找到這些委托。 | 我能教給你的就這麽多了，接下來好好經營你的避難所吧，祝你好運！
8月9日新增的翻译》↓,8月9日新增的翻譯》↓
黄金解锁,黃金解鎖
音效,音效
音乐,音樂
秒,秒
分,分
时,時
天,天
您收到了：,您收到了：
新币是店长手头的主要货币，能通过向顾客售卖物品获得。,新幣是店長手頭的主要貨幣，能通過向顧客售賣物品獲得。
您的新币,您的新幣
已满,已滿
与顾客讨价还价可以获得和花费能力。升级您的货架即可提高您的能量上限。,與顧客討價還價可以獲得和花費能力。升級您的貨架即可提高您的能量上限。
仓库已满,倉庫已滿
品质,品質
正在分解{0},正在分解{0}
要分解{0}吗？,要分解{0}嗎？
去酒馆招募英雄,去酒館招募英雄
花费黄金招募,花費黃金招募
新币不足,新幣不足
黄金不足,黃金不足
攻击力加成,攻擊力加成
防御加成,防禦加成
血量上限加成,血量上限加成
韧性加成,韌性加成
钝器(装备效果加成),鈍器(裝備效果加成)
重型盔甲,重型盔甲
攻速,攻速
轻型盔甲,輕型盔甲
初始能量,初始能量
没有可转职的职业了,沒有可轉職的職業了
进阶,進階
可转职,可轉職
正常难度,正常難度
困难难度,困難難度
{0}级,{0}級
可穿戴{0}阶装备,可穿戴{0}階裝備
确认要解雇{0}吗？,確認要解雇{0}嗎？
名字不能为空,名字不能為空
名称中包含敏感词汇！,名稱中包含敏感詞匯！
需要{0}级可转职,需要{0}級可轉職
